trecho;sequencia;lat;long;numero_poste;tipo_poste;estrutura_mt;estrutura_bt;poste;base
T1;0;-17.041935;-49.224541;2255555;EXISTENTE;U3;;EXIST;BE
T1;1;-17.042061824866057;-49.224291934201545;;;;;;
T1;2;-17.042349514713948;-49.22372694925095;;;;;;
T1;3;-17.042637203000723;-49.22316196256113;;;;;;
T1;4;-17.042924889726347;-49.222596974132074;;;;;;
T1;5;-17.043212574890795;-49.222031983963745;;;;;;
T1;6;-17.04350025849403;-49.22146699205611;;;;;;
T1;7;-17.04378794053602;-49.22090199840915;;;;;;
T1;8;-17.044075621016738;-49.220337003022834;;;;;;
T1;9;-17.04436329993614;-49.219772005897134;;;;;;
T1;10;-17.044650977294204;-49.21920700703203;;;;;;
T1;11;-17.044938653090888;-49.218642006427494;;;;;;
T1;12;-17.04522632732617;-49.21807700408349;;;;;;
T1;13;-17.045514;-49.217512;;;;;;
T1;14;-17.047802;-49.214406;;;;;;
T1;15;-17.047725;-49.213698;;;;;;
T1;16;-17.046803;-49.213231;;;;;;
