trecho;sequencia;lat;long;numero_poste;tipo_poste
T1;0;-17.041935;-49.224541;2255555;EXIST
T1;1;-17.042061824866057;-49.224291934201545;;
T1;2;-17.04378794053602;-49.22090199840915;;
T1;3;-17.045514;-49.217512;;
T1;4;-17.047802;-49.214406;;
T1;5;-17.047725;-49.213698;;
T1;6;-17.046803;-49.213231;;
